id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Bianka;Predovic;Colleen.Kerluke-Konopelski@hotmail.com;velocity metabolise advancement;2025-05-21T22:51:33;4115;2565
2;Carley;Kulas;Carissa.Dietrich@gmail.com;yowza gladly;2025-05-22T04:26:37;8687;18006
3;Helena;Reilly;Cleo62@gmail.com;uh-huh stealthily moral;2025-05-21T22:10:37;31294;3888
4;Shane;Kovacek;Ryann17@gmail.com;duh distorted;2025-05-22T06:18:59;6050;11712
5;Joesph;Schmitt;Norberto.Rath58@gmail.com;abaft sympathetically;2025-05-22T07:11:37;4868;1464
6;Ocie;Stanton;Christop_Lakin68@yahoo.com;decode roundabout vacantly;2025-05-21T14:48:36;28598;3941
7;Wyman;Gulgowski;Nova.Hand@yahoo.com;um;2025-05-21T13:49:56;569;22108
8;Suzanne;Towne;Reuben79@hotmail.com;gadzooks before;2025-05-22T12:05:25;2375;12599
9;Howell;Hirthe;Mazie47@gmail.com;before;2025-05-21T17:40:13;24605;12707
10;Aiden;Roob;Maci_Rempel@gmail.com;astonishing phew during;2025-05-21T21:55:33;1113;23145
